Team,Wins,Losses,ELO,Rank,NET.Rank,SOS.Rank,Non.Conf.SOS.Rank,Conference,Region,SOS,Ranking.Estimate.1
Virginia,15,14,1535.91,65,60,26,180,ACC,East,0.5709,1036.234483
Virginia Tech,23,6,1736.09,15,17,25,78,ACC,East,0.5688,1160.893793
Wagner,5,21,872.16,357,359,355,335,NEC,East,0.3825,858.8461538
Wake Forest,6,24,1225.47,230,133,56,172,ACC,East,0.5839,893.424
Washington,16,13,1460.75,92,41,19,265,Pac-12,West,0.568,1050.703448
Washington State,18,13,1500.22,72,25,9,68,NA,West,0.5962,1076.944516
Weber State,6,24,998.28,334,284,147,99,NA,NA,0.4712,875.392
West Virginia,23,6,1621.57,42,22,67,323,Big 12,South,0.5515,1149.917241
Western Carolina,3,23,920.78,351,350,307,310,NA,East,0.4758,843.92
Western Illinois,14,11,1171.21,261,237,358,357,NA,East,0.3883,973.9584
Western Kentucky,14,15,1191.2,250,170,122,106,NA,East,0.4969,991.9062069
Western Michigan,11,15,1227.9,228,238,233,212,NA,East,0.4654,957.52
Wichita State,9,21,1208.78,240,225,157,188,NA,NA,0.5158,923.792
William & Mary,15,12,1330.81,160,169,219,121,CAA,East,0.5008,1022.577778
Winthrop,11,15,1176.65,260,327,265,113,Big South,South,0.4007,935.6215385
Wisconsin,13,15,1361.26,142,122,43,151,Big Ten,West,0.5548,1006.068571
Wofford,12,12,1265.59,202,198,222,144,SoCon,South,0.4778,991.12
Wright State,15,14,1290.09,188,196,146,79,NA,NA,0.5092,1010.703448
Wyoming,15,12,1374.12,132,113,93,41,Mountain West,West,0.5366,1038.488889
Xavier,1,26,960.7,341,322,79,313,Big East,East,0.5396,815.9881481
Yale,8,18,1257.4,206,249,136,299,Ivy League,East,0.5062,924.6030769
Youngstown State,13,17,1317.66,165,236,218,216,NA,NA,0.4651,961.2346667
